home_team,away_team,home_score,away_score,i_home,i_away
Wales,Italy,23,15,0,4
France,England,26,24,1,5
Ireland,Scotland,28,6,2,3
Ireland,Wales,26,3,2,0
Scotland,England,0,20,3,5
France,Italy,30,10,1,4
Wales,France,27,6,0,1
Italy,Scotland,20,21,4,3
England,Ireland,13,10,5,2
Ireland,Italy,46,7,2,4
Scotland,France,17,19,3,1
England,Wales,29,18,5,0
Italy,England,11,52,4,5
Wales,Scotland,51,3,0,3
France,Ireland,20,22,1,2
Wales,England,16,21,0,5
Italy,Ireland,3,26,4,2
France,Scotland,15,8,1,3
England,Italy,47,17,5,4
Ireland,France,18,11,2,1
Scotland,Wales,23,26,3,0
Scotland,Italy,19,22,3,4
France,Wales,13,20,1,0
Ireland,England,19,9,2,5
Wales,Ireland,23,16,0,2
England,Scotland,25,13,5,3
Italy,France,0,29,4,1
Italy,Wales,20,61,4,0
Scotland,Ireland,10,40,3,2
England,France,55,35,5,1
France,Italy,23,21,1,4
Scotland,England,9,15,3,5
Ireland,Wales,16,16,2,0
France,Ireland,10,9,1,2
Wales,Scotland,27,23,0,3
Italy,England,9,40,4,5
Wales,France,19,10,0,1
Italy,Scotland,20,36,4,3
England,Ireland,21,10,5,2
Ireland,Italy,58,15,2,4
England,Wales,25,21,5,0
Scotland,France,29,18,3,1
Wales,Italy,67,14,0,4
Ireland,Scotland,35,25,2,3
France,England,21,31,1,5
Scotland,Ireland,27,22,3,2
England,France,19,16,5,1
Italy,Wales,7,33,4,0
Italy,Ireland,10,63,4,2
Wales,England,16,21,0,5
France,Scotland,22,16,1,3
Scotland,Wales,29,13,3,0
Ireland,France,19,9,2,1
England,Italy,36,15,5,4
Wales,Ireland,22,9,0,2
Italy,France,18,40,4,1
England,Scotland,61,21,5,3
Scotland,Italy,29,0,3,4
France,Wales,20,18,1,0
Ireland,England,13,9,2,5
