# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = eight_school_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmpnmbm5jgj/q4sf8q7x.json
# init = 2 (Default)
# random
#   seed = 81729
# output
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmpnmbm5jgj/eight_school-202006032319-1-nq7j5zyl.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_tilde.1,theta_tilde.2,theta_tilde.3,theta_tilde.4,theta_tilde.5,theta_tilde.6,theta_tilde.7,theta_tilde.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.345367
# Diagonal elements of inverse mass matrix:
# 12.3323, 1.42663, 1.05122, 0.964107, 1.06572, 0.941815, 0.847747, 0.81887, 0.935588, 1.2621
-7.05671,0.997055,0.345367,3,15,0,9.34365,1.44963,0.698249,0.670161,0.335438,-0.583239,-1.55155,0.421834,0.902394,-1.22864,0.390322,1.91757,1.68385,1.04238,0.366262,1.74417,2.07973,0.591731,1.72217,-5.13875,-3.42099,-3.72344,-3.49868,-3.16265,-3.32165,-4.73676,-3.97233,-5.74123,10.9691,-1.07032,11.6835,-7.81961,-16.7228,-10.4853,-7.79542
-9.23654,0.877421,0.345367,4,15,0,13.9475,10.8225,1.56724,0.424644,-0.0787521,0.0431815,1.69213,-1.2699,-1.41887,1.86101,-0.335298,11.488,10.6991,10.8902,13.4745,8.83225,8.59879,13.7391,10.297,-4.23287,-3.25795,-4.06836,-3.49005,-3.71291,-3.55544,-3.3123,-3.81379,10.6146,9.98083,25.8997,16.2073,8.40925,17.434,28.0291,4.23439
-11.3608,0.979344,0.345367,4,15,0,15.4676,8.7055,0.109613,0.52934,0.782106,1.65494,0.206639,0.202948,1.40824,2.19046,0.110668,8.76352,8.79123,8.8869,8.72815,8.72775,8.85986,8.94561,8.71763,-4.4493,-3.22465,-3.9675,-3.32917,-3.70029,-3.57211,-3.63143,-3.82594,16.3832,16.5337,11.3627,23.16,8.07404,11.461,19.8984,16.9428
-10.9799,0.999671,0.345367,3,15,0,13.3538,9.13317,0.160382,0.559474,0.323255,1.87064,0.224135,0.0831354,1.14275,2.19368,0.229153,9.2229,9.18501,9.43319,9.16912,9.1465,9.31645,9.485,9.16992,-4.4105,-3.22854,-3.99345,-3.33628,-3.75167,-3.60263,-3.58405,-3.82167,8.83079,11.3518,6.2187,16.2184,10.7199,13.86,7.58436,25.5952
-10.6695,0.982418,0.345367,3,15,0,13.615,9.52439,0.22413,0.52835,0.147666,1.84749,-0.239601,-0.187645,1.45991,1.9702,0.0274147,9.64281,9.55749,9.93847,9.47069,9.48234,9.8516,9.96597,9.53054,-4.37585,-3.23365,-4.01849,-3.34206,-3.79443,-3.6406,-3.54425,-3.81872,12.9325,24.055,21.4383,22.8142,3.24996,11.273,-5.2723,45.2405
-6.93397,1,0.345367,3,7,0,13.106,0.0740568,6.66019,0.830076,-0.177291,-0.731131,-0.479259,-0.469822,0.375914,-1.12695,-0.992151,5.60251,-1.10673,-4.79541,-3.1179,-3.05505,2.57772,-7.43161,-6.53385,-4.74176,-3.63619,-3.69782,-3.73986,-3.14223,-3.32712,-6.45536,-4.33941,11.2636,2.56683,-3.42733,5.76618,12.4897,9.64692,-8.73828,-6.71672
