# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = eight_school_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmpnmbm5jgj/q4sf8q7x.json
# init = 2 (Default)
# random
#   seed = 81729
# output
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmpnmbm5jgj/eight_school-202006032319-2-js7u680c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_tilde.1,theta_tilde.2,theta_tilde.3,theta_tilde.4,theta_tilde.5,theta_tilde.6,theta_tilde.7,theta_tilde.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.337175
# Diagonal elements of inverse mass matrix:
# 11.5974, 1.81621, 1.00276, 0.826133, 0.924183, 0.882501, 0.827105, 0.965905, 0.934197, 0.872768
-8.16245,0.969703,0.337175,4,15,0,10.9345,-1.32679,7.10566,2.04171,1.15279,1.88932,1.09945,-0.210561,-1.0161,0.105062,0.248133,13.1809,6.86454,12.0981,6.4855,-2.82297,-8.54686,-0.580257,0.43636,-4.115,-3.22797,-4.13675,-3.31793,-3.13668,-3.69346,-4.94765,-4.01566,12.99,3.06267,-8.63768,-0.242836,-10.2282,-19.7605,-10.4227,15.895
-14.6341,0.791868,0.337175,3,7,0,20.221,-4.6096,4.09846,2.19732,-0.277426,1.15468,-0.0329242,-1.54677,0.311802,0.213648,3.12204,4.39604,-5.74662,0.122787,-4.74454,-10.949,-3.33169,-3.73398,8.18596,-4.86509,-4.16637,-3.71057,-3.88681,-3.72717,-3.39437,-5.58335,-3.83176,-7.41448,12.7852,-18.9683,-13.1659,-4.97216,-13.6435,-12.4807,39.0059
-7.36566,0.99139,0.337175,3,7,0,19.7875,5.83304,2.79672,0.566988,2.16862,0.475342,1.3846,1.16288,-0.0632765,0.454043,-0.894518,7.41875,11.8981,7.16244,9.70538,9.0853,5.65607,7.10287,3.33132,-4.5683,-3.2975,-3.89324,-3.34708,-3.74402,-3.40642,-3.81526,-3.92528,10.7608,17.0686,37.1474,11.8002,-11.7931,13.1107,2.6706,-10.1911
-6.67767,0.992716,0.337175,4,15,0,12.3591,4.47474,3.79565,0.0476057,-1.89688,-0.897098,-1.09193,-1.51901,-0.196119,0.249944,0.769159,4.65543,-2.72514,1.06967,0.330167,-1.29089,3.73034,5.42344,7.39419,-4.83803,-3.79667,-3.72388,-3.50066,-3.11669,-3.34764,-4.01237,-3.84205,-2.87969,2.17364,1.69482,9.46874,-7.66128,-15.8222,22.4022,22.0029
-6.74931,0.915348,0.337175,4,15,0,13.0199,5.79345,1.37217,1.38641,1.20598,0.621757,0.936277,1.69978,0.184283,0.141294,-0.22212,7.69584,7.44826,6.6466,7.07818,8.12584,6.04631,5.98733,5.48866,-4.54312,-3.22305,-3.87328,-3.31686,-3.63024,-3.42206,-3.94305,-3.87474,42.8851,10.3459,32.855,-0.877925,6.39521,-13.2669,11.1357,5.19213
-7.85964,0.994494,0.337175,4,15,0,11.3618,5.72689,2.1981,-0.645124,-1.02418,-1.80809,-1.18144,-1.58098,0.747414,1.42343,0.325909,4.30884,3.47564,1.75253,3.12997,2.25172,7.36978,8.85573,6.44327,-4.87426,-3.32387,-3.73564,-3.37872,-3.18143,-3.4845,-3.63961,-3.85696,8.51731,6.89093,9.25185,28.2148,-10.9535,3.61619,3.77125,-6.41578
