# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = eight_school_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmpnmbm5jgj/q4sf8q7x.json
# init = 2 (Default)
# random
#   seed = 81729
# output
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmpnmbm5jgj/eight_school-202006032319-3-obg79en_.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_tilde.1,theta_tilde.2,theta_tilde.3,theta_tilde.4,theta_tilde.5,theta_tilde.6,theta_tilde.7,theta_tilde.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.594634
# Diagonal elements of inverse mass matrix:
# 10.3915, 0.856079, 0.900338, 0.74718, 0.888237, 0.873527, 0.876975, 0.880869, 1.13727, 0.956562
-8.01257,0.908314,0.594634,3,7,0,10.7907,2.81298,6.44436,1.6233,1.25685,0.0701791,2.12039,1.52724,-0.0109551,0.824376,0.653216,13.2741,10.9126,3.26524,16.4775,12.655,2.74238,8.12556,7.02254,-4.10888,-3.26394,-3.76819,-3.688,-4.26715,-3.32938,-3.70905,-3.84754,13.9067,5.88992,28.0565,5.41348,18.7318,-1.90799,18.5951,-1.92466
-5.83752,0.966889,0.594634,3,7,0,11.4074,8.64225,2.62791,-0.527843,-0.398299,0.731204,-1.69152,-1.22245,-0.201654,0.328819,-0.491171,7.25513,7.59556,10.5638,4.19708,5.42977,8.11232,9.50636,7.3515,-4.58332,-3.22234,-4.05086,-3.3493,-3.37136,-3.52586,-3.58223,-3.84266,4.2043,21.4721,-3.02537,4.76191,3.43485,9.90348,17.5431,22.9525
-5.21245,0.964313,0.594634,3,7,0,9.03601,-0.626432,3.59334,1.50168,-0.629876,-0.616719,0.183006,-1.00128,-0.475934,0.768461,-0.0910857,4.76961,-2.88979,-2.84251,0.0311726,-4.22439,-2.33663,2.13491,-0.953735,-4.82621,-3.81446,-3.69158,-3.51751,-3.18034,-3.36284,-4.48003,-4.06826,4.34975,-5.79651,-11.6526,-1.07846,-6.24182,12.7723,12.3044,24.3741
-9.10833,0.799118,0.594634,2,7,0,12.2524,-0.621794,4.98129,0.754249,-0.380912,-1.09511,1.94564,-1.56538,-1.5309,0.990609,-0.742373,3.13534,-2.51923,-6.07687,9.07,-8.41941,-8.24763,4.31272,-4.31977,-5.00088,-3.77479,-3.71002,-3.33454,-3.45596,-3.67022,-4.15823,-4.22032,0.25307,8.35389,9.42906,14.2952,-17.6571,-13.3886,10.6114,-8.44031
-7.62442,0.615255,0.594634,3,7,0,18.7257,2.22849,12.336,1.12896,0.186882,-2.18469,0.705687,-1.06859,0.0221749,1.54824,-0.844663,16.1553,4.53386,-24.7218,10.9338,-10.9536,2.50204,21.3275,-8.19125,-3.93876,-3.28159,-4.61309,-3.38078,-3.72773,-3.32616,-3.27688,-4.43846,10.069,14.9669,-24.594,-1.9688,0.235254,3.41519,31.2461,7.9743
-7.51417,0.312781,0.594634,3,7,0,10.8678,7.08212,0.348667,-0.774757,-0.0687489,1.87661,-0.630769,0.535907,-0.253418,-0.199209,1.05964,6.81199,7.05815,7.73643,6.86219,7.26897,6.99376,7.01266,7.45158,-4.62462,-3.22596,-3.91667,-3.31691,-3.53824,-3.46528,-3.82513,-3.84124,8.9738,16.3891,16.7771,-9.98671,0.374619,-8.47621,2.03889,16.0001
-9.95353,0.896695,0.594634,3,7,0,13.0616,2.99773,0.559935,0.635717,0.572706,1.32111,-0.235421,2.51299,-0.426598,0.372409,1.78445,3.35369,3.3184,3.73746,2.86591,4.40483,2.75886,3.20625,3.9969,-4.97686,-3.33111,-3.78019,-3.38746,-3.29649,-3.32962,-4.3158,-3.90815,40.7107,12.3623,-5.54066,11.7003,14.7204,-5.90804,13.6923,5.67576
