# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = eight_school_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmpnmbm5jgj/q4sf8q7x.json
# init = 2 (Default)
# random
#   seed = 81729
# output
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmpnmbm5jgj/eight_school-202006032319-4-urxj1dzn.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_tilde.1,theta_tilde.2,theta_tilde.3,theta_tilde.4,theta_tilde.5,theta_tilde.6,theta_tilde.7,theta_tilde.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.312667
# Diagonal elements of inverse mass matrix:
# 11.2017, 1.5133, 1.13164, 0.914929, 1.00302, 0.938402, 0.875586, 0.987456, 0.885159, 1.00399
-8.37364,0.983164,0.312667,4,15,0,11.8413,6.54912,6.43477,0.0748393,0.299744,-1.52084,2.46145,-0.900733,0.762889,0.165203,0.988093,7.03069,8.4779,-3.23714,22.388,0.753106,11.4581,7.61216,12.9073,-4.60413,-3.22267,-3.69164,-4.2953,-3.13513,-3.76879,-3.76106,-3.81058,5.83165,3.25764,-22.7379,11.6,3.33945,11.2583,10.4546,24.2748
-5.83671,0.993631,0.312667,3,15,0,11.4827,3.96888,1.62642,1.04724,0.738783,-0.533199,1.34122,-1.38245,-1.09881,0.76198,-0.0386359,5.67213,5.17045,3.10167,6.15026,1.72043,2.18175,5.20817,3.90604,-4.73484,-3.26156,-3.76424,-3.31982,-3.16185,-3.3226,-4.03968,-3.91041,-0.248134,2.03786,17.9569,13.066,-15.0344,18.6393,2.66001,-2.36577
-3.94759,0.996962,0.312667,3,15,0,8.10997,6.40621,5.01164,0.423652,-0.258857,-0.146724,-0.9062,0.472214,0.0715081,-0.752788,0.207352,8.52939,5.10891,5.67088,1.86466,8.77277,6.76458,2.63351,7.44538,-4.46944,-3.26332,-3.83837,-3.42581,-3.70571,-3.45415,-4.40217,-3.84132,-3.33052,-2.79728,6.20613,-11.46,-1.43575,3.05002,7.90923,-0.808035
-5.60347,0.948566,0.312667,3,15,0,8.84125,4.82638,2.78449,1.13982,0.0103345,-0.0494848,1.1641,-0.404482,-2.01267,1.08603,0.418145,8.0002,4.85516,4.68859,8.06781,3.7001,-0.777888,7.85041,5.9907,-4.51586,-3.27097,-3.80699,-3.32155,-3.25253,-3.3299,-3.73659,-3.86504,-20.9911,13.4112,4.18652,22.2383,17.7907,-14.5949,5.69762,-35.2907
-5.52537,0.993739,0.312667,4,15,0,9.32599,3.97763,1.08181,0.174837,0.28124,-0.380967,-1.07561,0.286364,1.81254,0.156538,-0.174024,4.16677,4.28187,3.56549,2.81402,4.28742,5.93844,4.14697,3.78937,-4.88926,-3.29065,-3.77572,-3.38924,-3.28874,-3.41761,-4.18106,-3.91335,19.0498,13.6065,9.25615,12.6086,10.4444,-5.70121,14.2947,-10.8664
-7.12262,0.699175,0.312667,3,7,0,12.6867,-0.170507,1.47731,0.986655,0.481373,0.0235975,1.49331,-0.22223,-1.53002,1.32385,0.416047,1.28709,0.540628,-0.135647,2.03558,-0.498809,-2.43082,1.78523,0.444122,-5.21272,-3.49973,-3.70755,-3.41867,-3.11771,-3.36547,-4.53612,-4.01539,-0.145563,-1.85278,-29.0269,14.2949,-6.92917,-15.5779,-3.27419,30.4056
