# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = eight_school_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmp8csu4jpc/b2axtuy2.json
# init = 2 (Default)
# random
#   seed = 55084
# output
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmp8csu4jpc/eight_school-202006032328-1-c7qi5s7r.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_tilde.1,theta_tilde.2,theta_tilde.3,theta_tilde.4,theta_tilde.5,theta_tilde.6,theta_tilde.7,theta_tilde.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.400899
# Diagonal elements of inverse mass matrix:
# 10.8165, 1.07955, 0.964318, 0.801666, 1.13359, 0.950894, 0.791328, 0.855897, 0.898861, 0.871265
-9.00754,0.880979,0.400899,3,7,0,13.7587,10.0462,5.35598,-0.512621,0.144477,-2.29912,0.667196,-1.94327,-0.421869,-0.000476766,-1.4734,7.30064,10.82,-2.26781,13.6197,-0.361911,7.78671,10.0437,2.15475,-4.57913,-3.26129,-3.69257,-3.49791,-3.11868,-3.50716,-3.53804,-3.95889,-13.2345,-3.99956,10.4817,27.8694,-3.50593,5.59781,4.84446,-22.3797
-5.56314,0.989412,0.400899,3,7,0,12.569,3.35121,4.99317,0.511432,-1.59607,0.41853,-0.766409,0.432316,0.129231,1.1913,1.19871,5.90488,-4.61823,5.441,-0.475596,5.50984,3.99648,9.29956,9.33659,-4.71187,-4.01762,-3.83069,-3.54776,-3.37776,-3.35394,-3.60001,-3.82026,-20.2165,4.52367,-11.6916,15.6088,17.0256,-6.93749,14.7034,12.6314
-6.62289,0.937038,0.400899,4,15,0,11.3429,8.84478,3.54235,0.0883584,1.11485,-0.091733,1.06459,-1.09198,1.16983,0.191827,-1.31172,9.15778,12.794,8.51983,12.6159,4.97661,12.9887,9.5243,4.1982,-4.41594,-3.33643,-3.95072,-3.44716,-3.33666,-3.91076,-3.58071,-3.90324,35.6213,25.3752,26.307,19.5292,14.1455,0.421702,-1.08547,14.8731
-7.18804,0.971307,0.400899,4,15,0,10.7831,0.940772,2.26084,0.419985,-1.21472,-0.10916,-1.15145,0.39389,-1.66663,0.600703,1.32908,1.89029,-1.80552,0.693978,-1.66248,1.8313,-2.82722,2.29887,3.94563,-5.14192,-3.70226,-3.71818,-3.62691,-3.16565,-3.37736,-4.45415,-3.90942,6.97774,15.2953,-6.48187,28.0402,-12.1044,-15.4305,-0.417477,-3.45974
-8.416,0.974143,0.400899,3,7,0,10.3284,-0.421081,3.68217,0.211087,-1.42203,-0.630031,-1.15907,0.35838,-1.80769,0.705746,1.07963,0.356176,-5.65723,-2.74096,-4.68896,0.898533,-7.0773,2.17759,3.55431,-5.32517,-4.15412,-3.69166,-3.88143,-3.13841,-3.58643,-4.47327,-3.91939,10.452,-3.75538,20.0863,-7.31774,3.79664,-12.0636,9.41165,-5.82852
-9.14797,0.991021,0.400899,3,15,0,12.4759,5.35189,3.52898,0.66944,2.10508,0.539732,1.55158,-0.00419603,2.19023,0.746099,-0.62823,7.71433,12.7807,7.25659,10.8274,5.33708,13.0812,7.98486,3.13488,-4.54145,-3.3358,-3.89699,-3.37737,-3.36406,-3.91995,-3.72304,-3.93059,20.5269,5.80463,7.52621,5.92165,12.8578,44.7228,-8.77938,33.8165
