# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = eight_school_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmp8csu4jpc/b2axtuy2.json
# init = 2 (Default)
# random
#   seed = 55084
# output
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmp8csu4jpc/eight_school-202006032328-2-a43ejvoa.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_tilde.1,theta_tilde.2,theta_tilde.3,theta_tilde.4,theta_tilde.5,theta_tilde.6,theta_tilde.7,theta_tilde.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.351485
# Diagonal elements of inverse mass matrix:
# 10.7048, 1.75548, 0.864986, 0.843976, 0.801562, 0.944575, 0.918516, 0.911133, 0.818231, 1.05787
-7.38615,0.795106,0.351485,4,15,0,15.1814,-6.63856,11.8682,1.72493,1.15135,0.763157,1.52579,0.0598888,-0.149729,1.86,1.0352,13.8332,7.02589,2.41871,11.4698,-5.92779,-8.41556,15.4363,5.64736,-4.07298,-3.22627,-3.74888,-3.39939,-3.26606,-3.68317,-3.25439,-3.87159,26.9032,1.05875,4.73124,3.42654,7.9557,-11.648,5.09905,-8.77341
-4.26133,0.75473,0.351485,3,7,0,11.2977,-0.693997,6.24432,0.123409,1.56056,-0.211642,0.545959,-0.255013,-0.633554,1.12465,0.407237,0.0766075,9.05062,-2.01556,2.71515,-2.28638,-4.65011,6.32869,1.84892,-5.35969,-3.22704,-3.69342,-3.3927,-3.12638,-3.44875,-3.90262,-3.96833,29.2614,5.68048,-5.43709,10.3923,2.23916,-2.81056,6.51131,2.83622
-4.57461,0.969015,0.351485,4,15,0,6.49808,8.30128,5.71339,0.330773,-0.947662,-0.745625,0.171832,0.0413945,0.89744,-0.334325,0.0137602,10.1911,2.88692,4.04123,9.28302,8.53778,13.4287,6.39115,8.37989,-4.33178,-3.35224,-3.78836,-3.33837,-3.6777,-3.95515,-3.89535,-3.82953,18.5304,25.6581,1.40735,5.198,10.7494,24.7364,4.53527,-8.89133
-5.87488,0.886476,0.351485,4,15,0,7.65758,6.40202,0.536278,1.45664,-0.619113,-0.578492,-0.605331,-0.209101,0.229176,0.493455,0.853133,7.18319,6.07001,6.09179,6.0774,6.28989,6.52493,6.66665,6.85954,-4.58997,-3.24015,-3.85297,-3.32035,-3.4442,-3.44297,-3.86375,-3.85009,9.54749,6.5006,-25.2617,-15.9141,7.8827,22.0398,10.2258,21.8206
-6.88246,0.882232,0.351485,3,7,0,12.1118,3.00484,1.02372,1.22837,0.41417,0.591154,0.715066,0.352854,-2.03742,1.03991,-0.242231,4.26234,3.42883,3.61002,3.73687,3.36606,0.919101,4.06941,2.75686,-4.87916,-3.326,-3.77686,-3.36083,-3.23383,-3.31686,-4.19183,-3.94116,14.7735,1.99337,15.3636,-13.0411,-2.19709,-12.7393,14.6836,23.718
-7.45346,1,0.351485,3,7,0,11.8977,3.86133,0.0967502,0.542714,-0.482044,0.633515,0.520546,0.807246,-0.610372,0.517229,1.25643,3.91383,3.81469,3.92262,3.91169,3.93943,3.80227,3.91137,3.98289,-4.9162,-3.30911,-3.78513,-3.35625,-3.26677,-3.34928,-4.21397,-3.9085,5.17805,5.14124,19.0609,8.35947,5.82514,18.9003,-9.40815,-11.5462
-8.62227,0.956587,0.351485,3,7,0,14.965,5.09888,6.23269,2.91285,0.534776,-0.0389467,-0.541515,0.117879,1.52034,1.50581,-1.00089,23.2537,8.43197,4.85613,1.72378,5.83358,14.5747,14.4841,-1.13935,-3.67705,-3.22246,-3.81207,-3.43187,-3.40442,-4.07829,-3.28333,-4.07573,40.023,-9.03759,9.53104,1.77456,2.85124,14.4776,9.18773,-20.7175
-8.60953,0.906569,0.351485,4,15,0,15.4068,-2.12183,3.74731,-0.0551041,0.0952162,-0.474265,2.4091,0.865673,0.292623,1.99425,0.922741,-2.32832,-1.76502,-3.89904,6.90581,1.12211,-1.02528,5.35124,1.33597,-5.671,-3.6983,-3.69311,-3.31687,-3.14396,-3.33378,-4.02148,-3.98481,0.367191,-4.24284,-5.592,0.257157,-3.48961,-0.804176,18.8003,38.0448
-9.7596,0.954107,0.351485,4,15,0,17.164,0.578605,1.14215,0.20947,-0.846898,-0.0812852,1.54826,0.0166449,0.19526,-0.306701,2.96125,0.817851,-0.388681,0.485765,2.34695,0.597616,0.801621,0.228306,3.9608,-5.26892,-3.57337,-3.71526,-3.4063,-3.13192,-3.317,-4.80069,-3.90905,10.972,7.66128,0.855317,-5.30073,-9.49947,-3.84416,-2.45172,6.0021
-9.6183,0.992334,0.351485,4,15,0,15.728,7.33849,3.13057,0.307034,1.1509,-0.100009,-2.28681,0.623439,-0.795841,1.79789,-1.78731,8.29968,10.9415,7.0254,0.179462,9.29021,4.84705,12.9669,1.74317,-4.48944,-3.26478,-3.88783,-3.50906,-3.7698,-3.37799,-3.34818,-3.97166,28.3506,8.31716,-5.29855,-2.60348,2.92462,23.2394,18.2507,-10.9563
-9.39903,0.963379,0.351485,3,7,0,14.3858,4.92109,1.19965,0.419045,-0.533145,-0.0351707,-1.64647,-0.782676,-1.17306,1.38333,-2.49985,5.42379,4.2815,4.8789,2.9459,3.98215,3.51382,6.5806,1.92214,-4.75962,-3.29066,-3.81277,-3.38475,-3.26938,-3.34295,-3.87354,-3.96604,2.44809,23.4875,10.7244,8.78835,9.59774,12.2743,1.88366,-8.98928
-5.04877,1,0.351485,3,7,0,11.3958,5.11088,6.53111,0.680576,-0.376785,1.01455,-1.41681,-0.493254,-0.990121,-0.167116,0.0044892,9.5558,2.65006,11.737,-4.14249,1.88939,-1.35571,4.01943,5.1402,-4.38296,-3.36463,-4.11571,-3.82987,-3.1677,-3.33977,-4.1988,-3.88193,17.3194,-11.8861,35.6562,-1.73231,-0.732424,-19.3275,-3.06808,9.94962
-7.68989,0.168617,0.351485,3,7,0,14.2391,7.0631,0.208011,-0.510936,1.36018,0.444579,-0.0967879,-0.959755,-0.6755,0.458171,1.28988,6.95682,7.34603,7.15558,7.04297,6.86346,6.92259,7.1584,7.33141,-4.61102,-3.22366,-3.89296,-3.31684,-3.49785,-3.46178,-3.80922,-3.84295,-18.8031,-1.0097,24.0906,23.8755,12.0451,-1.20852,3.08446,-13.9536
-7.92001,0.974651,0.351485,4,15,0,11.9302,3.91645,0.605035,1.97886,-0.423294,-0.284226,0.604782,1.84547,-0.124882,0.79416,0.540045,5.11373,3.66034,3.74448,4.28236,5.03302,3.84089,4.39694,4.24319,-4.79095,-3.31569,-3.78037,-3.34735,-3.34084,-3.35018,-4.14674,-3.90216,-4.91547,-3.63476,25.4562,14.4529,5.2995,11.6978,2.49268,7.4391
-7.33903,0.668427,0.351485,3,15,0,12.0933,6.13742,0.488885,-0.374736,-0.362148,0.0687185,-0.228416,1.10894,2.24429,0.21566,-0.0528252,5.95421,5.96037,6.17101,6.02575,6.67956,7.23461,6.24285,6.11159,-4.70703,-3.24232,-3.8558,-3.32076,-3.48021,-3.47746,-3.91268,-3.86282,7.7433,1.56292,-4.39546,2.60555,-0.213483,5.67457,0.416782,20.2845
-5.17907,0.975785,0.351485,3,7,0,11.4533,6.55288,2.78927,0.884317,-0.232279,0.669374,-0.501703,-2.04419,-0.459437,-0.0448102,0.684977,9.01948,5.90499,8.41995,5.1535,0.851085,5.27139,6.42789,8.46347,-4.42757,-3.24347,-3.94624,-3.33092,-3.13731,-3.39223,-3.89109,-3.82861,15.3418,3.64374,13.1718,5.68102,1.21423,1.88427,-15.3621,8.02794
-8.06888,0.274474,0.351485,3,7,0,13.0919,7.15439,13.8757,0.921171,0.206381,0.818562,0.277354,-1.87096,0.546858,0.182617,-0.689526,19.9363,10.0181,18.5125,11.0029,-18.8066,14.7424,9.68833,-2.41328,-3.77148,-3.24189,-4.59541,-3.38304,-5.07341,-4.09723,-3.56694,-4.1299,38.7196,15.0978,27.3716,12.9878,-4.97736,23.6071,24.1309,-12.0458
-4.8458,1,0.351485,4,15,0,10.6633,8.05424,7.75887,0.270619,-0.513782,0.00564591,0.698276,-0.152921,-0.126802,-0.634222,1.29757,10.1539,4.06787,8.09805,13.4721,6.86775,7.0704,3.1334,18.1219,-4.33473,-3.29883,-3.93209,-3.48992,-3.49827,-3.46911,-4.3266,-3.86715,1.25198,-12.4262,17.2495,22.5264,6.24738,6.53945,10.3882,15.7053
-8.54458,0.926359,0.351485,3,7,0,10.7823,0.812975,1.1791,2.48207,-0.736977,-1.116,0.035669,-0.873669,0.509411,-0.97271,0.131438,3.73959,-0.0559975,-0.50291,0.855033,-0.217171,1.41362,-0.333951,0.967955,-4.93492,-3.54602,-3.70371,-3.47287,-3.11995,-3.31754,-4.90219,-3.99713,-11.9213,-0.712102,20.3764,2.67838,2.44634,-13.9121,-9.30795,9.15927
-7.50851,0.602831,0.351485,3,15,0,13.1321,5.15682,0.183364,-1.09835,-0.751767,-0.462801,0.495083,-1.05296,0.137451,-1.04152,-0.975262,4.95542,5.01897,5.07196,5.2476,4.96374,5.18202,4.96584,4.97799,-4.80711,-3.26596,-3.81879,-3.32952,-3.33571,-3.3891,-4.07097,-3.8854,4.43291,-4.21029,3.87201,9.96263,-0.167788,7.97256,0.463727,-11.6033
-7.31676,0.994327,0.351485,4,15,0,10.7177,5.18889,0.0974883,1.25732,0.348989,0.242711,-1.05212,0.100893,-0.0181965,0.13171,0.973748,5.31146,5.22291,5.21255,5.08632,5.19872,5.18711,5.20173,5.28382,-4.77092,-3.26008,-3.82326,-3.33197,-3.35335,-3.38928,-4.0405,-3.87892,-4.1095,21.2053,-0.972558,15.4266,1.18215,20.219,2.20686,-15.6888
