# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = eight_school_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 3
# data
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmp8csu4jpc/b2axtuy2.json
# init = 2 (Default)
# random
#   seed = 55084
# output
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmp8csu4jpc/eight_school-202006032328-3-oidta1yl.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_tilde.1,theta_tilde.2,theta_tilde.3,theta_tilde.4,theta_tilde.5,theta_tilde.6,theta_tilde.7,theta_tilde.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.351804
# Diagonal elements of inverse mass matrix:
# 11.7069, 2.16554, 1.05128, 0.921629, 1.08178, 0.923878, 0.869369, 0.955899, 0.932447, 0.96974
-4.77371,0.989224,0.351804,3,7,0,7.79395,6.45125,7.89269,-0.318134,0.970077,-0.783413,0.263812,0.8116,0.329183,0.696713,0.498659,3.94032,14.1078,0.268017,8.53344,12.8569,9.04939,11.9502,10.387,-4.91336,-3.40805,-3.71239,-3.32655,-4.30144,-3.58457,-3.40452,-3.81333,2.06785,20.461,-15.271,-0.367509,21.0394,-4.9164,5.72989,-24.1697
-7.71746,0.995178,0.351804,3,7,0,10.1703,10.847,1.0428,-0.0630478,0.360634,-1.29295,1.48399,0.820908,-0.461452,-0.400611,0.327639,10.7813,11.2231,9.49871,12.3945,11.703,10.3658,10.4292,11.1887,-4.28584,-3.27346,-3.99664,-3.43708,-4.11226,-3.67931,-3.50811,-3.81033,1.35417,14.6846,-22.6366,1.10083,-1.53188,-3.34483,7.8045,6.99651
-6.29702,0.888363,0.351804,4,15,0,14.617,-1.15149,3.78534,0.46793,-0.239643,0.959305,-1.46621,-0.834418,0.447925,0.594213,-0.271684,0.619786,-2.05862,2.47981,-6.7016,-4.31004,0.544061,1.09781,-2.1799,-5.29294,-3.7274,-3.75018,-4.09259,-3.1838,-3.31769,-4.64994,-4.1196,15.8575,3.71174,16.7832,-16.0084,-10.8034,5.12365,-6.53794,-4.00186
-5.63961,0.838972,0.351804,3,7,0,10.7366,1.70938,1.76221,0.569438,0.322769,-1.30088,0.211455,-1.45894,-0.0402977,1.42739,0.387482,2.71285,2.27817,-0.583049,2.08201,-0.861571,1.63837,4.22475,2.3922,-5.04797,-3.38522,-3.70294,-3.41678,-3.11628,-3.31852,-4.17031,-3.95176,17,20.7553,2.39471,-9.75996,-8.8738,2.23428,10.362,15.7116
-7.04818,0.986163,0.351804,4,15,0,11.5661,1.06831,2.61357,0.76038,-0.722291,-0.0929754,0.219634,2.02444,-0.502022,-1.0454,0.459344,3.05562,-0.819451,0.82531,1.64234,6.35932,-0.243762,-1.66392,2.26884,-5.0097,-3.61044,-3.72011,-3.43545,-3.45048,-3.32323,-5.15487,-3.95545,-1.7232,5.77608,13.3395,-7.67386,6.56232,-17.0628,-10.713,23.4327
-6.84185,0.933204,0.351804,3,15,0,14.7811,5.27103,3.84746,1.09433,1.42421,0.912241,-0.174691,-0.451868,-2.2698,0.551992,0.907012,9.48143,10.7506,8.78084,4.59891,3.53249,-3.46192,7.3948,8.76072,-4.38907,-3.25935,-3.9626,-3.34066,-3.24297,-3.3991,-3.78388,-3.8255,-3.4952,13.2526,3.65661,11.2411,0.687907,11.475,1.00298,-2.88958
