# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = eight_school_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmp8csu4jpc/b2axtuy2.json
# init = 2 (Default)
# random
#   seed = 55084
# output
#   file = /var/folders/0p/68vzj3fn4sl7mtrptth2cwz40000gn/T/tmp8csu4jpc/eight_school-202006032328-4-irephkf4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_tilde.1,theta_tilde.2,theta_tilde.3,theta_tilde.4,theta_tilde.5,theta_tilde.6,theta_tilde.7,theta_tilde.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.289773
# Diagonal elements of inverse mass matrix:
# 10.7564, 1.23536, 0.862648, 0.940649, 1.04866, 0.990167, 0.822975, 0.819186, 0.879172, 0.918144
-5.99066,0.999344,0.289773,4,15,0,11.3365,-0.676083,0.674785,-0.52079,-0.208465,-0.0963456,0.222081,-0.490793,-0.675246,-0.748821,0.561736,-1.0275,-0.816752,-0.741095,-0.526226,-1.00726,-1.13173,-1.18138,-0.297032,-5.49942,-3.6102,-3.70149,-3.5509,-3.11616,-3.33561,-5.06115,-4.04267,-6.05546,3.23674,28.8805,-15.4747,-4.40257,-6.33893,5.63591,-9.01888
-10.8301,0.948084,0.289773,4,15,0,18.4514,10.8191,0.310376,0.320149,0.957422,1.51957,0.877965,-0.0171512,-0.399046,2.20027,0.524737,10.9185,11.1163,11.2907,11.0916,10.8138,10.6953,11.502,10.982,-4.27539,-3.27008,-4.09041,-3.38601,-3.97768,-3.70526,-3.43264,-3.81091,33.4732,-0.661703,32.8552,9.79828,17.2934,-7.34143,8.54488,15.7153
-10.437,0.655779,0.289773,3,15,0,15.7984,7.28476,0.130816,-0.936513,1.70596,1.04254,1.42469,-0.0117369,0.687388,1.60994,-0.00821729,7.16225,7.50792,7.42114,7.47113,7.28322,7.37468,7.49536,7.28368,-4.5919,-3.22273,-3.90364,-3.31775,-3.53969,-3.48475,-3.77326,-3.84364,-11.613,6.10526,7.71829,13.7219,9.63796,15.4331,6.23938,35.9736
-9.78435,0.994371,0.289773,4,15,0,14.0531,1.34847,2.00569,0.208599,-2.11525,-0.464892,-1.67942,-0.426001,0.118694,-1.83473,0.0689428,1.76685,-2.89408,0.416039,-2.01993,0.494043,1.58653,-2.33144,1.48675,-5.15627,-3.81493,-3.71432,-3.65303,-3.12994,-3.31826,-5.28836,-3.97988,-5.75046,-14.9967,4.85629,10.2248,-3.21197,-1.81163,0.0959629,-2.74307
-5.63418,0.99869,0.289773,3,15,0,11.2397,8.77959,2.57319,-0.542109,1.14311,0.208553,0.125895,-0.477354,0.519542,1.56529,0.689563,7.38464,11.721,9.31624,9.10354,7.55127,10.1165,12.8074,10.554,-4.57142,-3.29075,-3.9878,-3.33512,-3.56755,-3.66026,-3.35634,-3.81254,6.35541,9.95842,11.9505,14.9814,9.28374,2.84864,27.5448,-14.0607
-6.30497,0.973849,0.289773,4,15,0,10.9567,3.06253,1.06786,-0.0413549,-0.4229,-1.56953,-0.10019,0.639962,-1.15634,1.02211,1.08131,3.01837,2.61093,1.3865,2.95554,3.74592,1.82772,4.154,4.21721,-5.01384,-3.36673,-3.72911,-3.38443,-3.2552,-3.31966,-4.18008,-3.90279,16.6922,10.5842,22.1756,18.9014,-15.2679,25.4112,17.321,38.8888
